catalogue_id,product,company,salt,dosage_form,pack,reference_price,discontinued,search_text
MED0140001,Micosil-FC Cream,Scott Edil Pharmacia Ltd,,allopathy,,59.0,False,micosil-fc cream |  | scott edil pharmacia ltd | allopathy | 
MED0140002,Mycet Cold Syrup,Morepen Laboratories Ltd,,allopathy,,11.25,False,mycet cold syrup |  | morepen laboratories ltd | allopathy | 
MED0140003,Moxica 250mg Capsule,Indica Laboratories Pvt  Ltd,,allopathy,,32.9,False,moxica 250mg capsule |  | indica laboratories pvt  ltd | allopathy | 
MED0140004,Mahacillin 500mg Capsule,Mankind Pharma Ltd,,allopathy,,38.5,False,mahacillin 500mg capsule |  | mankind pharma ltd | allopathy | 
MED0140005,Mahacef Sachet,Mankind Pharma Ltd,,allopathy,,10.0,True,mahacef sachet |  | mankind pharma ltd | allopathy | 
MED0140006,M Fast 150mg Tablet,Medihands Pharmaceuticals,,allopathy,,9.0,False,m fast 150mg tablet |  | medihands pharmaceuticals | allopathy | 
MED0140007,Medicef 1000mg Injection,Euromed Laboratories,,allopathy,,80.0,False,medicef 1000mg injection |  | euromed laboratories | allopathy | 
MED0140008,Melexin 500mg Tablet,Medico Lab,,allopathy,,105.0,False,melexin 500mg tablet |  | medico lab | allopathy | 
MED0140009,Mezon 40mg Injection,Fantabulous Pharma,,allopathy,,99.0,False,mezon 40mg injection |  | fantabulous pharma | allopathy | 
MED0140010,Montemune 10mg Tablet,Alniche Life Sciences Pvt Ltd,,allopathy,,125.0,False,montemune 10mg tablet |  | alniche life sciences pvt ltd | allopathy | 
MED0140011,Metcare Injection,Pluzine Healthcare,,allopathy,,75.0,False,metcare injection |  | pluzine healthcare | allopathy | 
MED0140012,Metalac 10gm Syrup,P R G Pharma Pvt Ltd,,allopathy,,119.0,False,metalac 10gm syrup |  | p r g pharma pvt ltd | allopathy | 
MED0140013,Meltaz 1mg Tablet MD,Vrddhi Life Sciences,,allopathy,,43.0,False,meltaz 1mg tablet md |  | vrddhi life sciences | allopathy | 
MED0140014,Mikopan 40mg Tablet,Mediphar Lifesciences Pvt Ltd,,allopathy,,68.0,False,mikopan 40mg tablet |  | mediphar lifesciences pvt ltd | allopathy | 
MED0140015,Maxxsulide Plus 100mg/325mg Tablet,Maxx Farmacia (India) Lip,,allopathy,,38.5,False,maxxsulide plus 100mg/325mg tablet |  | maxx farmacia (india) lip | allopathy | 
