catalogue_id,product,company,salt,dosage_form,pack,reference_price,discontinued,search_text
MED0210001,Skifi CV Tablet,Sun Pharmaceutical Industries Ltd,,allopathy,,196.0,True,skifi cv tablet |  | sun pharmaceutical industries ltd | allopathy | 
MED0210002,Scormin Oral Drops,Scortis Lab Pvt Ltd,,allopathy,,31.05,False,scormin oral drops |  | scortis lab pvt ltd | allopathy | 
MED0210003,Sampill 2.5mg Tablet,Torrent Pharmaceuticals Ltd,,allopathy,,29.0,False,sampill 2.5mg tablet |  | torrent pharmaceuticals ltd | allopathy | 
MED0210004,STALIA 80 MG TABLET,Wanbury Ltd,,allopathy,,89.0,True,stalia 80 mg tablet |  | wanbury ltd | allopathy | 
MED0210005,Spasmak Y 20 mg/500 mg Tablet,Win-Medicare Pvt Ltd,,allopathy,,50.0,False,spasmak y 20 mg/500 mg tablet |  | win-medicare pvt ltd | allopathy | 
MED0210006,Sparflin Tablet,Lupin Ltd,,allopathy,,100.0,False,sparflin tablet |  | lupin ltd | allopathy | 
MED0210007,Sri CZ Plus Tablet,Sterkem Pharma Pvt Ltd,,allopathy,,84.32,False,sri cz plus tablet |  | sterkem pharma pvt ltd | allopathy | 
MED0210008,Softax O 200mg Tablet,Soft Pharmaceuticals,,allopathy,,179.9,False,softax o 200mg tablet |  | soft pharmaceuticals | allopathy | 
MED0210009,Swilac Oral Solution,Ind Swift Laboratories Ltd,,allopathy,,50.18,False,swilac oral solution |  | ind swift laboratories ltd | allopathy | 
MED0210010,Stefi 50mg Dry Syrup,Apostle Remedies,,allopathy,,30.8,False,stefi 50mg dry syrup |  | apostle remedies | allopathy | 
MED0210011,Solzer 875mg/125mg Tablet,Saffron Therapeutics Pvt Ltd,,allopathy,,180.0,False,solzer 875mg/125mg tablet |  | saffron therapeutics pvt ltd | allopathy | 
MED0210012,Systacam 40mg Injection,Systacare Remedies,,allopathy,,12.0,False,systacam 40mg injection |  | systacare remedies | allopathy | 
MED0210013,SYSTACLOT 125MG INJECTION,Systacare Remedies,,allopathy,,20.0,False,systaclot 125mg injection |  | systacare remedies | allopathy | 
MED0210014,Synpen 250mg Capsule,Agron Remedies Pvt Ltd,,allopathy,,27.5,False,synpen 250mg capsule |  | agron remedies pvt ltd | allopathy | 
MED0210015,Silagress 50mg Tablet,La Renon Healthcare Pvt Ltd,,allopathy,,72.0,True,silagress 50mg tablet |  | la renon healthcare pvt ltd | allopathy | 
MED0210016,Spentoin Injection,Swati Spentose Pvt Ltd,,allopathy,,10.5,False,spentoin injection |  | swati spentose pvt ltd | allopathy | 
MED0210017,Sizeco 1mg Tablet,Taurus Laboratories Pvt Ltd,,allopathy,,10.0,False,sizeco 1mg tablet |  | taurus laboratories pvt ltd | allopathy | 
MED0210018,Strocolin 1000mg Tablet,Carise Pharmaceuticals Pvt Ltd,,allopathy,,680.0,False,strocolin 1000mg tablet |  | carise pharmaceuticals pvt ltd | allopathy | 
MED0210019,Silnavib 50 Tablet,Vibcare Pharma Pvt Ltd,,allopathy,,100.0,False,silnavib 50 tablet |  | vibcare pharma pvt ltd | allopathy | 
MED0210020,Shycef S 1000mg/500mg Injection,Shrine Remedies Pvt Ltd,,allopathy,,140.0,False,shycef s 1000mg/500mg injection |  | shrine remedies pvt ltd | allopathy | 
MED0210021,Stencort 6mg Oral Suspension,Stensa Life Sciences,,allopathy,,63.0,False,stencort 6mg oral suspension |  | stensa life sciences | allopathy | 
MED0210022,Sporiclav 500mg/125mg Tablet,Arbro Pharmaceuticals Pvt Ltd,,allopathy,,185.0,False,sporiclav 500mg/125mg tablet |  | arbro pharmaceuticals pvt ltd | allopathy | 
MED0210023,Salvamet GM 2mg/500mg Tablet SR,Salvus Pharma,,allopathy,,70.0,False,salvamet gm 2mg/500mg tablet sr |  | salvus pharma | allopathy | 
MED0210024,Sefcit P 500mg/800mg Tablet,Saphnix Life Sciences,,allopathy,,690.0,False,sefcit p 500mg/800mg tablet |  | saphnix life sciences | allopathy | 
MED0210025,Simpcef 50 Dry Syrup,Akshita Remedies,,allopathy,,66.0,False,simpcef 50 dry syrup |  | akshita remedies | allopathy | 
MED0210026,Statomeg Injection,Numera Life Sciences,,allopathy,,65.0,False,statomeg injection |  | numera life sciences | allopathy | 
MED0210027,Scabez X 6mg Tablet,Forman Medics Pvt Ltd,,allopathy,,76.0,False,scabez x 6mg tablet |  | forman medics pvt ltd | allopathy | 
MED0210028,Symef Spas 10mg/250mg Tablet,Alchemist Chemsynth Pharma Pvt Ltd,,allopathy,,39.6,False,symef spas 10mg/250mg tablet |  | alchemist chemsynth pharma pvt ltd | allopathy | 
MED0210029,Synthoxy CL 1000mg/200mg Injection,Alchemist Chemsynth Pharma Pvt Ltd,,allopathy,,120.0,False,synthoxy cl 1000mg/200mg injection |  | alchemist chemsynth pharma pvt ltd | allopathy | 
MED0210030,Satcolin P 500mg/800mg Tablet,Saturn Formulations Pvt Ltd,,allopathy,,576.0,False,satcolin p 500mg/800mg tablet |  | saturn formulations pvt ltd | allopathy | 
MED0210031,Swactum S 1000mg/1000mg Injection,Colard Healthcare,,allopathy,,320.0,False,swactum s 1000mg/1000mg injection |  | colard healthcare | allopathy | 
MED0210032,Shither 150 Injection,Shivon Lifesciences Pvt Ltd,,allopathy,,89.0,False,shither 150 injection |  | shivon lifesciences pvt ltd | allopathy | 
MED0210033,Satliv SL 140mg/300mg Tablet,Saturn Formulations Pvt Ltd,,allopathy,,378.0,False,satliv sl 140mg/300mg tablet |  | saturn formulations pvt ltd | allopathy | 
MED0210034,Sertingo 100mg Tablet,Curis Lifecare,,allopathy,,89.0,False,sertingo 100mg tablet |  | curis lifecare | allopathy | 
MED0210035,Suglyz 500 SR Tablet,Biodiscovery Lifesciences Pvt Ltd,,allopathy,,32.0,False,suglyz 500 sr tablet |  | biodiscovery lifesciences pvt ltd | allopathy | 
MED0210036,StayHappi Domperidone+Omeprazole 10mg/15mg Tablet,Sarvagunaushdhi Pvt Ltd,,allopathy,,30.0,False,stayhappi domperidone+omeprazole 10mg/15mg tablet |  | sarvagunaushdhi pvt ltd | allopathy | 
MED0210037,Sikodin Ointment,Progressive Life Care,,allopathy,,70.0,False,sikodin ointment |  | progressive life care | allopathy | 
MED0210038,StayHappi Levocetirizine 10mg Tablet,Sarvagunaushdhi Pvt Ltd,,allopathy,,12.0,False,stayhappi levocetirizine 10mg tablet |  | sarvagunaushdhi pvt ltd | allopathy | 
MED0210039,StayHappi Ofloxacin 200mg Tablet,Sarvagunaushdhi Pvt Ltd,,allopathy,,16.67,False,stayhappi ofloxacin 200mg tablet |  | sarvagunaushdhi pvt ltd | allopathy | 
MED0210040,StayHappi Cinnarizine 25mg Tablet,Sarvagunaushdhi Pvt Ltd,,allopathy,,12.5,False,stayhappi cinnarizine 25mg tablet |  | sarvagunaushdhi pvt ltd | allopathy | 
MED0210041,Somcomycin 500mg Injection,Somkee India Private Limited,,allopathy,,299.0,False,somcomycin 500mg injection |  | somkee india private limited | allopathy | 
MED0210042,Spasmic 10mg/250mg Tablet,Desta Lifescience,,allopathy,,31.0,False,spasmic 10mg/250mg tablet |  | desta lifescience | allopathy | 
MED0210043,StayHappi Amlodipine 5mg Tablet,Sarvagunaushdhi Pvt Ltd,,allopathy,,7.0,False,stayhappi amlodipine 5mg tablet |  | sarvagunaushdhi pvt ltd | allopathy | 
MED0210044,StayHappi Amlodipine 2.5mg Tablet,Sarvagunaushdhi Pvt Ltd,,allopathy,,6.0,False,stayhappi amlodipine 2.5mg tablet |  | sarvagunaushdhi pvt ltd | allopathy | 
MED0210045,StayHappi Ramipril 5mg Tablet,Sarvagunaushdhi Pvt Ltd,,allopathy,,22.0,False,stayhappi ramipril 5mg tablet |  | sarvagunaushdhi pvt ltd | allopathy | 
MED0210046,Safeflox OZ Oral Suspension,Biosafe Formulations,,allopathy,,38.0,False,safeflox oz oral suspension |  | biosafe formulations | allopathy | 
MED0210047,Sinamum Oral Drops Delicious Orange,Culmen Healthcare,,allopathy,,38.0,False,sinamum oral drops delicious orange |  | culmen healthcare | allopathy | 
MED0210048,Snufin G 2mg/500mg Tablet SR,Ridgecure Pharma,,allopathy,,47.0,False,snufin g 2mg/500mg tablet sr |  | ridgecure pharma | allopathy | 
MED0210049,Sterbet Cream,Stermed India,,allopathy,,71.54,False,sterbet cream |  | stermed india | allopathy | 
